Chunk Index,Chunk Text,RAKE Keywords,SpaCy Keywords,LSA Summary,LexRank Summary,Transformer Summary
35,Annexes Annex 1 – Soil fertility Fertility is maintained through practices described in detail in section 4 above. Annex 2 – Pest and weed management See section 5 above for practices. Annex 3 – Livestock See section 6 for livestock management practices described above. Annex 4 – Certification See section 7 above. Annex 5 – Designing crop rotations and associations See section 8 above.,"annexes annex 1 – soil fertility fertility, annex 3 – livestock see section 6, annex 4 – certification see section 7, annex 5 – designing crop rotations, weed management see section 5","section, annex, practices, annexes, soil fertility fertility",Annex 2 – Pest and weed management See section 5 above for practices.,Annex 2 – Pest and weed management See section 5 above for practices.,Soil fertility is maintained through practices described in detail in section 4 above. Livestock management practices are described in section 6.
36,Annex 3 – Livestock See section 6 for livestock management practices described above. Annex 4 – Certification See section 7 above. Annex 5 – Designing crop rotations and associations See section 8 above. Annex 6 – Water management See section 9 above. Annex 7 – Genetic resources See section 10 above. Annex 8 – Agroforestry See section 11 above.,"annex 7 – genetic resources see section 10, annex 6 – water management see section 9, annex 4 – certification see section 7, annex 3 – livestock see section 6, annex 8 – agroforestry see section 11","section, annex, livestock management practices, 4 – certification see section, crop rotations",Annex 5 – Designing crop rotations and associations See section 8 above.,Annex 3 – Livestock See section 6 for livestock management practices described above.,Annex 1 – Crop rotations and associations See section 8 above. Annex 2 – Livestock See section 6 for livestock management practices described above.
37,Annex 6 – Water management See section 9 above. Annex 7 – Genetic resources See section 10 above. Annex 8 – Agroforestry See section 11 above. Annex 9 – Risk management See section 12 above. Annex 10 – Processing See section 13 above. Annex 11 – Marketing See sections 14 and 15 above.,"annex 9 – risk management see section 12, annex 6 – water management see section 9, annex 7 – genetic resources see section 10, annex 10 – processing see section 13, annex 8 – agroforestry see section 11","section, annex, 6 – water management, genetic resources, risk management",Annex 6 – Water management See section 9 above.,Annex 6 – Water management See section 9 above.,Annexes 5 and 6 – Water management see section 9 and 10 above. Annex 7 – Genetic resources see section 10 and 11 above.
38,Annex 9 – Risk management See section 12 above. Annex 10 – Processing See section 13 above. Annex 11 – Marketing See sections 14 and 15 above. Annex 12 – Policy See section 16 above. Annex 13 – Challenges See section 17 above. Annex 14 – Economics See section 18 above.,"annex 9 – risk management see section 12, annex 12 – policy see section 16, annex 14 – economics see section 18, annex 13 – challenges see section 17, annex 10 – processing see section 13","section, annex, risk management, processing see section, marketing see sections",Annex 11 – Marketing See sections 14 and 15 above.,Annex 9 – Risk management See section 12 above.,Annex 9 – Risk management See section 12 above. Annex 10 – Processing See section 13 above. annex 11 – Marketing See sections 14 and 15 above.
39,"Annex 12 – Policy See section 16 above. Annex 13 – Challenges See section 17 above. Annex 14 – Economics See section 18 above. Annex 15 – Environment See section 19 above. Annex 16 – Social benefits See section 20 above. Bibliography Organic agriculture: African experiences in resilience and sustainability (FAO, 2013); The world of organic agriculture (FiBL-IFOAM, 2013).","annex 16 – social benefits see section 20, annex 12 – policy see section 16, annex 15 – environment see section 19, annex 14 – economics see section 18, annex 13 – challenges see section 17","section, annex, organic agriculture, 12 – policy see section, challenges","Bibliography Organic agriculture: African experiences in resilience and sustainability (FAO, 2013); The world of organic agriculture (FiBL-IFOAM, 2013).",Annex 12 – Policy See section 16 above.,Annex 12 – Policy See section 16 above. Annex 13 – Challenges See section 17 above. Annex 14 – Economics See section 18 above.
40,"Bibliography Organic agriculture: African experiences in resilience and sustainability (FAO, 2013); The world of organic agriculture (FiBL-IFOAM, 2013). Glossary Agro-ecosystem: an ecosystem managed for the production of food and fibre. Conversion: period and process of changing from conventional to organic farming. Green manures: crops grown to be incorporated into the soil to improve its fertility.","bibliography organic agriculture, organic agriculture, organic farming, green manures, glossary agro","organic agriculture, african experiences, resilience, sustainability, fao",Glossary Agro-ecosystem: an ecosystem managed for the production of food and fibre.,"Bibliography Organic agriculture: African experiences in resilience and sustainability (FAO, 2013); The world of organic agriculture (FiBL-IFOAM, 2013).",Agro-ecosystem: an ecosystem managed for the production of food and fibre. Green manures: crops grown to be incorporated into the soil to improve its fertility. Conversion: period and process of changing from conventional to organic farming
41,Glossary Agro-ecosystem: an ecosystem managed for the production of food and fibre. Conversion: period and process of changing from conventional to organic farming. Green manures: crops grown to be incorporated into the soil to improve its fertility. Intercropping: practice of growing two or more crops in proximity. Organic agriculture: production system avoiding synthetic inputs and emphasizing ecological balance.,"production system avoiding synthetic inputs, emphasizing ecological balance, organic farming, organic agriculture, growing two","glossary agro-ecosystem, an ecosystem, the production, food, fibre",Glossary Agro-ecosystem: an ecosystem managed for the production of food and fibre.,Glossary Agro-ecosystem: an ecosystem managed for the production of food and fibre.,Conversion: period and process of changing from conventional to organic farming. Intercropping: practice of growing two or more crops in proximity. Green manures: crops grown to be incorporated into the soil.
42,Intercropping: practice of growing two or more crops in proximity. Organic agriculture: production system avoiding synthetic inputs and emphasizing ecological balance. Soil fertility: capacity of soil to sustain plant growth. Sustainability: capacity to maintain productivity and ecological balance over time. Acronyms FAO: Food and Agriculture Organization of the United Nations. GMO: Genetically Modified Organism.,"production system avoiding synthetic inputs, sustain plant growth, genetically modified organism, emphasizing ecological balance, ecological balance","capacity, practice, two or more crops, proximity, organic agriculture",Organic agriculture: production system avoiding synthetic inputs and emphasizing ecological balance.,Sustainability: capacity to maintain productivity and ecological balance over time.,Intercropping: practice of growing two or more crops in proximity. Organic agriculture: production system avoiding synthetic inputs and emphasizing ecological balance. Soil fertility: capacity of soil to sustain plant growth. Sustainability: capacity to maintain productivity
43,"Acronyms FAO: Food and Agriculture Organization of the United Nations. GMO: Genetically Modified Organism. IFOAM: International Federation of Organic Agriculture Movements. Contacts Climate, Energy and Tenure Division (NRC) Food and Agriculture Organization of the United Nations Viale delle Terme di Caracalla 00153 Rome, Italy Tel (+39) 06 5705 3616 E-mail: organic-agriculture@fao.org www.fao.org/climatechange","united nations viale delle terme di caracalla 00153 rome, italy tel (+ 39, 06 5705 3616 e, united nations, genetically modified organism","acronyms fao: food and agriculture organization, the united nations, gmo, genetically modified organism, ifoam","Contacts Climate, Energy and Tenure Division (NRC) Food and Agriculture Organization of the United Nations Viale delle Terme di Caracalla 00153 Rome, Italy Tel (+39) 06 5705 3616 E-mail: organic-agriculture@fao.org www.fao.org/climatechange",Acronyms FAO: Food and Agriculture Organization of the United Nations.,FAO: Food and Agriculture Organization of the United Nations. GMO: Genetically Modified Organism. IFOAM: International Federation of Organic Agriculture Movements.
44,"Contacts Climate, Energy and Tenure Division (NRC) Food and Agriculture Organization of the United Nations Viale delle Terme di Caracalla 00153 Rome, Italy Tel (+39) 06 5705 3616 E-mail: organic-agriculture@fao.org www.fao.org/climatechange Images Front cover – Organic farming training in the Philippines (FAO/A. Vitale). Inside back cover – Inspection of organic rice field (FAO/G. Napolitano). Back cover – Agroforestry system in Peru (FAO/G. Napolitano).","united nations viale delle terme di caracalla 00153 rome, climatechange images front cover – organic farming training, inside back cover – inspection, back cover – agroforestry system, italy tel (+ 39","contacts climate, energy and tenure division, (nrc) food and agriculture organization, the united nations viale delle, caracalla 00153 rome","Contacts Climate, Energy and Tenure Division (NRC) Food and Agriculture Organization of the United Nations Viale delle Terme di Caracalla 00153 Rome, Italy Tel (+39) 06 5705 3616 E-mail: organic-agriculture@fao.org www.fao.org/climatechange Images Front cover – Organic farming training in the Philippines (FAO/A.","Contacts Climate, Energy and Tenure Division (NRC) Food and Agriculture Organization of the United Nations Viale delle Terme di Caracalla 00153 Rome, Italy Tel (+39) 06 5705 3616 E-mail: organic-agriculture@fao.org www.fao.org/climatechange Images Front cover – Organic farming training in the Philippines (FAO/A.",FAO/A. Vitale and G. Napolitano. Front cover – Organic farming training in the Philippines. Inside back cover – Inspection of organic rice field. Back cover – Agroforestry system in Peru.
45,"Images Front cover – Organic farming training in the Philippines (FAO/A. Vitale). Inside back cover – Inspection of organic rice field (FAO/G. Napolitano). Back cover – Agroforestry system in Peru (FAO/G. Napolitano). Training manual for ORGANIC AGRICULTURE FAO This manual has been produced by the Climate, Energy and Tenure Division (NRC) FAO Via delle Terme di Caracalla, 00153 Rome, Italy organic-agriculture@fao.org www.fao.org/climatechange ISBN 978-92-5-107XXX-X","images front cover – organic farming training, fao via delle terme di caracalla, inside back cover – inspection, back cover – agroforestry system, organic rice field","front cover, organic farming training, the philippines, (fao/a. vitale, inside back cover","Training manual for ORGANIC AGRICULTURE FAO This manual has been produced by the Climate, Energy and Tenure Division (NRC) FAO Via delle Terme di Caracalla, 00153 Rome, Italy organic-agriculture@fao.org www.fao.org/climatechange ISBN 978-92-5-107XXX-X",Back cover – Agroforestry system in Peru (FAO/G.,"Training manual for ORGANIC AGRICULTURE FAO. Written by the Climate, Energy and Tenure Division (NRC) FAO Via delle Terme di Caracalla, 00153 Rome, Italy organic-"
46,"Training manual for ORGANIC AGRICULTURE FAO This manual has been produced by the Climate, Energy and Tenure Division (NRC) FAO Via delle Terme di Caracalla, 00153 Rome, Italy organic-agriculture@fao.org www.fao.org/climatechange ISBN 978-92-5-107XXX-X 9 789251 07XXXX The designations employed and the presentation of material in this information product do not imply the expression of any opinion whatsoever on the part of FAO concerning the legal or development status of any country, territory, city or area.","fao via delle terme di caracalla, x 9 789251 07xxxx, climatechange isbn 978, organic agriculture fao, fao concerning","fao, manual, organic agriculture, this manual, the climate","Training manual for ORGANIC AGRICULTURE FAO This manual has been produced by the Climate, Energy and Tenure Division (NRC) FAO Via delle Terme di Caracalla, 00153 Rome, Italy organic-agriculture@fao.org www.fao.org/climatechange ISBN 978-92-5-107XXX-X 9 789251 07XXXX The designations employed and the presentation of material in this information product do not imply the expression of any opinion whatsoever on the part of FAO concerning the legal or development status of any country, territory, city or area.","Training manual for ORGANIC AGRICULTURE FAO This manual has been produced by the Climate, Energy and Tenure Division (NRC) FAO Via delle Terme di Caracalla, 00153 Rome, Italy organic-agriculture@fao.org www.fao.org/climatechange ISBN 978-92-5-107XXX-X 9 789251 07XXXX The designations employed and the presentation of material in this information product do not imply the expression of any opinion whatsoever on the part of FAO concerning the legal or development status of any country, territory, city or area.","Training manual for ORGANIC AGRICULTURE FAO. This manual has been produced by the Climate, Energy and Tenure Division (NRC)"
47,"The designations employed and the presentation of material in this information product do not imply the expression of any opinion whatsoever on the part of FAO concerning the legal or development status of any country, territory, city or area. or of its authorities, or concerning the delimitation of its frontiers or boundaries. The mention of specific companies or products of manufacturers, whether or not these have been patented, does not imply that these have been endorsed or recommended by FAO in preference to others.","specific companies, opinion whatsoever, information product, development status, designations employed","fao, the designations, the presentation, material, this information product","The mention of specific companies or products of manufacturers, whether or not these have been patented, does not imply that these have been endorsed or recommended by FAO in preference to others.","The designations employed and the presentation of material in this information product do not imply the expression of any opinion whatsoever on the part of FAO concerning the legal or development status of any country, territory, city or area.","The designations employed and the presentation of material in this information product do not imply the expression of any opinion whatsoever on the part of FAO. The mention of specific companies or products of manufacturers, whether or not these have been patented,"
48,"The mention of specific companies or products of manufacturers, whether or not these have been patented, does not imply that these have been endorsed or recommended by FAO in preference to others. of a similar nature that are not mentioned. The views expressed in this information product are those of the author(s) and do not necessarily reflect the views or policies of FAO. FAO encourages the use, reproduction and dissemination of material in this information product.","specific companies, similar nature, necessarily reflect, information product, information product","fao, the views, this information product, the mention, specific companies","FAO encourages the use, reproduction and dissemination of material in this information product.","The mention of specific companies or products of manufacturers, whether or not these have been patented, does not imply that these have been endorsed or recommended by FAO in preference to others.","The views expressed in this information product are those of the author(s) and do not necessarily reflect the views or policies of FAO. The mention of specific companies or products of manufacturers, whether or not these have been patented, does"
49,"FAO encourages the use, reproduction and dissemination of material in this information product. Except where otherwise indicated, material may be copied, downloaded and printed for private study, research and teaching purposes, or for use in non-commercial products or services, provided that appropriate acknowledgement of FAO as the source and copyright holder is given and that FAO’s endorsement of users’ views, products or services is not implied in any way.","users ’ views, fao ’, teaching purposes, private study, otherwise indicated","fao, material, services, the use, reproduction","FAO encourages the use, reproduction and dissemination of material in this information product.","FAO encourages the use, reproduction and dissemination of material in this information product.","FAO encourages the use, reproduction and dissemination of material in this information product. Material may be copied, downloaded and printed for private study, research and teaching purposes, or for use in non-commercial products or services."
